Ticker,Time,Millisec,LastPrice,Volume,BidVolume1,BidPrice1,AskVolume1,AskPrice1
IF1502,13:03:28,100,3403.6,242485,3,3403.4,8,3403.6
IF1502,13:03:28,600,3403.2,242490,9,3403.2,3,3403.4
IF1502,13:03:29,100,3402.8,242535,2,3402.8,2,3403
IF1502,13:03:29,600,3402.6,242550,6,3402.6,7,3403
IF1502,13:03:30,100,3402.4,242560,3,3402.4,5,3402.6
IF1502,13:03:30,600,3402.8,242581,6,3402.2,1,3402.4
IF1502,13:03:31,100,3402.8,242586,5,3402.6,10,3403
IF1502,13:03:31,600,3402.6,242591,5,3402.6,7,3402.8
IF1502,13:03:32,100,3403.4,242617,39,3402.8,4,3403.4
IF1502,13:03:32,600,3403.8,242628,8,3403.6,4,3403.8
IF1502,13:03:33,100,3403.6,242635,3,3403.6,4,3403.8
IF1502,13:03:33,600,3403.6,242638,1,3403.6,3,3403.8
IF1502,13:03:34,100,3403.8,242644,20,3403.4,4,3403.8
IF1502,13:03:34,600,3403.6,242647,20,3403.4,5,3403.6
IF1502,13:03:35,100,3403.2,242679,5,3403.2,4,3403.4
IF1502,13:03:35,600,3403,242689,6,3402.8,6,3403.2
IF1502,13:03:36,100,3402.8,242697,1,3402.8,2,3403
IF1502,13:03:36,600,3402.8,242701,17,3402.6,2,3402.8
IF1502,13:03:37,100,3402.8,242706,10,3402.6,3,3402.8
IF1502,13:03:37,600,3402.6,242719,1,3402.8,3,3403
IF1502,13:03:38,100,3403,242721,9,3402.8,7,3403
IF1502,13:03:38,600,3403,242725,10,3402.8,4,3403
IF1502,13:03:39,100,3402.8,242732,7,3402.8,7,3403.2
IF1502,13:03:39,600,3403.4,242757,51,3402.8,10,3403.6
IF1502,13:03:40,100,3403.4,242768,8,3403.4,66,3403.8
IF1502,13:03:40,600,3402.8,242777,2,3402.8,1,3403
IF1502,13:03:41,100,3403,242779,11,3402.8,2,3403
IF1502,13:03:41,600,3403.2,242783,15,3402.8,5,3403.2
IF1502,13:03:42,100,3403.2,242791,3,3403.2,10,3403.4
IF1502,13:03:42,600,3403.4,242802,2,3403,4,3403.2
IF1502,13:03:43,100,3403,242805,5,3403,6,3403.2
IF1502,13:03:43,600,3402.6,242820,12,3402.6,1,3403
IF1502,13:03:44,100,3403,242825,9,3402.6,5,3403
IF1502,13:03:44,600,3402.8,242834,5,3402.8,3,3403
IF1502,13:03:45,100,3402.8,242837,2,3402.8,3,3403
IF1502,13:03:45,600,3402.8,242849,1,3402.8,2,3403
IF1502,13:03:46,100,3402.8,242850,9,3402.6,5,3402.8
IF1502,13:03:46,600,3402.4,242862,5,3402.4,56,3402.8
IF1502,13:03:47,100,3402.2,242879,7,3402,1,3402.6
IF1502,13:03:47,600,3401.6,242901,30,3401.6,2,3402
IF1502,13:03:48,100,3401.6,242930,4,3401.4,1,3401.6
IF1502,13:03:48,600,3401.6,242955,15,3401.4,2,3401.6
IF1502,13:03:49,100,3401.6,242958,13,3401.4,6,3401.8
IF1502,13:03:49,600,3401.4,242973,3,3401.4,10,3401.6
IF1502,13:03:50,100,3401.6,242995,9,3401,4,3401.4
IF1502,13:03:50,600,3401,243004,1,3401,4,3401.2
IF1502,13:03:51,100,3401,243017,9,3400.8,2,3401.4
IF1502,13:03:51,600,3400.6,243050,5,3400.6,2,3401
IF1502,13:03:52,100,3400.4,243061,4,3400.4,2,3400.6
IF1502,13:03:52,600,3400,243085,22,3400,9,3400.6
IF1502,13:03:53,100,3399.8,243101,9,3399.8,8,3400.2
IF1502,13:03:53,600,3400.2,243121,8,3399.8,4,3400.2
IF1502,13:03:54,100,3400.2,243134,1,3400.2,4,3400.4
IF1502,13:03:54,600,3400.4,243141,21,3400.2,8,3400.6
IF1502,13:03:55,100,3401.2,243180,10,3400.8,3,3401.2
IF1502,13:03:55,600,3401.8,243194,2,3401.8,6,3402
IF1502,13:03:56,100,3401.8,243208,7,3401.6,4,3402.2
IF1502,13:03:56,600,3401.6,243212,2,3401.6,41,3401.8
IF1502,13:03:57,100,3401.2,243231,3,3401.2,3,3401.8
